,heading,summary,link,image
10,"Maharahstra: Merit list of scholarship exams for Class V, VIII declared","The final result was released by the Maharashtra State Council of Examinations on Friday.
",https://indianexpress.com/article/cities/pune/maharahstra-merit-list-of-scholarship-exams-for-class-v-viii-declared-7712337/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
11,Pune: Police book BJP activist for ‘objectionable’ post on Uddhav Thackeray’s wife,"Mumbai-based Jiten Gajari has been booked under sections 153 (a) and 505 (2), pertaining to spreading communal hatred and derogatory content, of the IIPC following a complaint filed by a Pune resident, senior police inspector D S Hake of Cyber police station said.",https://indianexpress.com/article/cities/pune/pune-police-book-bjp-activist-for-objectionable-post-on-rashmi-thackeray-uddhav-7712340/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
12,No cold conditions in Maharashtra till Jan 11: IMD,The India Meteorological Department (IMD) has issued a forecast of light to moderate intensity rain accompanied by lightning in the coming days. ,https://indianexpress.com/article/cities/pune/no-cold-conditions-in-maharashtra-till-jan-11-imd-7712354/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
13,JNUSU demands Covid Care Centre on campus,"As of Friday, ""nearly 10 students on campus have been found to be infected by the Covid-19 virus in the latest wave"", JNUSU said.",https://indianexpress.com/article/cities/delhi/jnusu-covid-care-centre-omicron-third-wave-7712616/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
14,India Post releases special cover on Tanaji Malusare,"Since August last year, the postal department’s office in the Pune region has been releasing similar special covers to commemorate contributions of important personalities in the history of Maharashtra under the tag ‘Unsung Heroes’. 
",https://indianexpress.com/article/cities/pune/india-post-releases-special-cover-on-tanaji-malusare-7712357/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
15,"Pimpri-Chinchwad: Active cases, positivity rate up; PCMC fears cases will rise further","Active cases in Pimpri-Chinchwad are also following the same trajectory. On Friday, more than 3,115 active cases were registered, which is nearly an eight-fold jump in seven days. The positivity rate has also been on an upward trend. 
",https://indianexpress.com/article/cities/pune/pimpri-chinchwad-active-covid-cases-positivity-rate-pcmc-7712343/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
16,Naomi Osaka pulls out of Melbourne semi-final,Four-times Grand Slam champion Osaka beat German Andrea Petkovic 6-1 7-5 in the quarter-final on Friday.,https://indianexpress.com/article/sports/tennis/naomi-osaka-pulls-out-of-melbourne-semi-final-7712614/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
17,German teacher convicted of ‘cannibalism fantasy’ killing,"🔴 The case isn't the first in Germany involving alleged cannibalism, or fantasies involving it.",https://indianexpress.com/article/world/german-teacher-convicted-of-cannibalism-fantasy-killing-7712571/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
18,Demand for self-testing kits sees a huge jump as Covid cases rise in Pune,"Self-testing kits are not as robust as RT-PCR tests but are very useful for quick status check, especially because of the rush at the laboratories due to rapidly rising case numbers.",https://indianexpress.com/article/cities/pune/demand-for-self-testing-kits-sees-a-huge-jump-as-covid-cases-rise-in-pune-7712475/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
19,"Daily Briefing: Economy to grow at 9.2%, recoup Covid year losses; SC clears NEET counselling with current EWS & OBC quota","A group of students and faculty members from the Indian Institutes of Management in Bengaluru and Ahmedabad flagged hate speech and attacks on minorities in a letter to Prime Minister Narendra Modi, saying his silence “emboldens” voices of hate.",https://indianexpress.com/article/live-news/top-news-briefing-today-7712515/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
20,"Noida: 4 intellectually disabled women die at shelter home, probe ordered","While the deaths have been attributed to natural causes, a probe has been ordered by the district magistrate to look into any possible oversight.",https://indianexpress.com/article/cities/delhi/noida-intellectually-disabled-women-die-shelter-home-7712608/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
21,Brainsqueeze Quiz: The Proteas Test Captains,This week’s quiz is on 5 captains since SA’s readmission from the Apartheid years. ,https://indianexpress.com/article/sports/cricket/brainsqueeze-quiz-the-proteas-test-captains-7712595/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
22,Kyrgios wants to avoid Djokovic if Serb gains Australian Open reprieve,"Djokovic, winner of nine Australian Open titles, was spending his third day in an immigration detention hotel after authorities on Thursday revoked his visa.",https://indianexpress.com/article/sports/tennis/nick-kyrgios-wants-to-avoid-novak-djokovic-if-serb-gains-australian-open-reprieve-7712584/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
23,Watch: England’s Ben Stokes and Jonny Bairstow confront abusive fans at SCG,Stokes and Bairstow rescued England with a 128-run fifth-wicket stand as at one stage the hosts were reeling at 36 for 4.,https://indianexpress.com/article/sports/cricket/ashes-englands-ben-stokes-and-jonny-bairstow-confront-abusive-fan-at-scg-7712555/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
24,Kangana Ranaut draws the ire of netizens as she keeps a pastry back on tray after bringing it close to her mouth: ‘Gross’,A new video of Kangana Ranaut has her picking up a pastry and bringing it close to her mouth only to pose. This left many people upset as they felt her act was irresponsible especially when the country is battling with Covid-19.,https://indianexpress.com/article/entertainment/bollywood/kangana-ranaut-draws-ire-netizens-keeps-pastry-back-tray-after-bringing-close-to-mouth-7712568/,https://indianexpress.com/wp-content/plugins/lazy-load/images/1x1.trans.gif
